SITES	site0	site1
7000	RELEASED	site0	1
7000	ACCEPTED	site1	1
7000	STARTED	site1	1
88000	RELEASED	site0	2
88000	ACCEPTED	site1	2
88000	STARTED	site1	1
198000	RELEASED	site0	3
198000	REJECTED	site0	3
593000	RELEASED	site0	4
593000	ACCEPTED	site1	4
593000	STARTED	site1	1
734000	RELEASED	site0	5
734000	ACCEPTED	site1	5
734000	STARTED	site1	1
771000	RELEASED	site0	6
771000	REJECTED	site0	6
906000	RELEASED	site0	7
906000	REJECTED	site0	7
1152000	RELEASED	site0	8
1152000	REJECTED	site0	8
1155000	RELEASED	site0	9
1155000	REJECTED	site0	9
1181000	RELEASED	site0	10
1181000	ACCEPTED	site1	10
1181000	STARTED	site1	1
1387000	RELEASED	site0	11
1387000	REJECTED	site0	11
1423000	RELEASED	site0	12
1423000	REJECTED	site0	12
1467000	RELEASED	site0	13
1467000	REJECTED	site0	13
1543000	RELEASED	site0	14
1543000	REJECTED	site0	14
1575000	RELEASED	site0	15
1575000	REJECTED	site0	15
1575000	RELEASED	site0	16
1575000	REJECTED	site0	16
1575000	RELEASED	site0	17
1575000	REJECTED	site0	17
1575000	RELEASED	site0	18
1575000	REJECTED	site0	18
1575000	RELEASED	site0	19
1575000	REJECTED	site0	19
1575000	RELEASED	site0	20
1575000	REJECTED	site0	20
1575000	RELEASED	site0	21
1575000	REJECTED	site0	21
1575000	RELEASED	site0	22
1575000	REJECTED	site0	22
1575000	RELEASED	site0	23
1575000	REJECTED	site0	23
1576000	RELEASED	site0	24
1576000	REJECTED	site0	24
1576000	RELEASED	site0	25
1576000	REJECTED	site0	25
1576000	RELEASED	site0	26
1576000	REJECTED	site0	26
1576000	RELEASED	site0	27
1576000	REJECTED	site0	27
1576000	RELEASED	site0	28
1576000	REJECTED	site0	28
1576000	RELEASED	site0	29
1576000	REJECTED	site0	29
1576000	RELEASED	site0	30
1576000	REJECTED	site0	30
1576000	RELEASED	site0	31
1576000	REJECTED	site0	31
1576000	RELEASED	site0	32
1576000	REJECTED	site0	32
1577000	RELEASED	site0	33
1577000	REJECTED	site0	33
1577000	RELEASED	site0	34
1577000	REJECTED	site0	34
1577000	RELEASED	site0	35
1577000	REJECTED	site0	35
1577000	RELEASED	site0	36
1577000	REJECTED	site0	36
1577000	RELEASED	site0	37
1577000	REJECTED	site0	37
1577000	RELEASED	site0	38
1577000	REJECTED	site0	38
1577000	RELEASED	site0	39
1577000	REJECTED	site0	39
1577000	RELEASED	site0	40
1577000	REJECTED	site0	40
1577000	RELEASED	site0	41
1577000	REJECTED	site0	41
1577000	RELEASED	site0	42
1577000	REJECTED	site0	42
1578000	RELEASED	site0	43
1578000	REJECTED	site0	43
1578000	RELEASED	site0	44
1578000	REJECTED	site0	44
1578000	RELEASED	site0	45
1578000	REJECTED	site0	45
1578000	RELEASED	site0	46
1578000	REJECTED	site0	46
1578000	RELEASED	site0	47
1578000	REJECTED	site0	47
1578000	RELEASED	site0	48
1578000	REJECTED	site0	48
1578000	RELEASED	site0	49
1578000	REJECTED	site0	49
1578000	RELEASED	site0	50
1578000	REJECTED	site0	50
1578000	RELEASED	site0	51
1578000	REJECTED	site0	51
1579000	RELEASED	site0	52
1579000	REJECTED	site0	52
1579000	RELEASED	site0	53
1579000	REJECTED	site0	53
1579000	RELEASED	site0	54
1579000	REJECTED	site0	54
1579000	RELEASED	site0	55
1579000	REJECTED	site0	55
1579000	RELEASED	site0	56
1579000	REJECTED	site0	56
1579000	RELEASED	site0	57
1579000	REJECTED	site0	57
1579000	RELEASED	site0	58
1579000	REJECTED	site0	58
1579000	RELEASED	site0	59
1579000	REJECTED	site0	59
1579000	RELEASED	site0	60
1579000	REJECTED	site0	60
1580000	RELEASED	site0	61
1580000	REJECTED	site0	61
1580000	RELEASED	site0	62
1580000	REJECTED	site0	62
1580000	RELEASED	site0	63
1580000	REJECTED	site0	63
1580000	RELEASED	site0	64
1580000	REJECTED	site0	64
1771000	RELEASED	site0	65
1771000	REJECTED	site0	65
1831000	RELEASED	site0	66
1831000	REJECTED	site0	66
1913000	RELEASED	site0	67
1913000	REJECTED	site0	67
2060000	RELEASED	site0	68
2060000	ACCEPTED	site1	68
2060000	STARTED	site1	1
2088000	RELEASED	site0	69
2088000	REJECTED	site0	69
2165000	RELEASED	site0	70
2165000	REJECTED	site0	70
2247000	RELEASED	site0	71
2247000	ACCEPTED	site1	71
2247000	STARTED	site1	1
2248000	RELEASED	site0	72
2248000	ACCEPTED	site1	72
2248000	STARTED	site1	1
2248000	RELEASED	site0	73
2248000	REJECTED	site0	73
2248000	RELEASED	site0	74
2248000	REJECTED	site0	74
2248000	RELEASED	site0	75
2248000	REJECTED	site0	75
2248000	RELEASED	site0	76
2248000	REJECTED	site0	76
2248000	RELEASED	site0	77
2248000	REJECTED	site0	77
2248000	RELEASED	site0	78
2248000	REJECTED	site0	78
2248000	RELEASED	site0	79
2248000	REJECTED	site0	79
2248000	RELEASED	site0	80
2248000	REJECTED	site0	80
2248000	RELEASED	site0	81
2248000	REJECTED	site0	81
2249000	RELEASED	site0	82
2249000	ACCEPTED	site1	82
2249000	STARTED	site1	1
2249000	RELEASED	site0	83
2249000	REJECTED	site0	83
2249000	RELEASED	site0	84
2249000	REJECTED	site0	84
2249000	RELEASED	site0	85
2249000	REJECTED	site0	85
2249000	RELEASED	site0	86
2249000	REJECTED	site0	86
2249000	RELEASED	site0	87
2249000	REJECTED	site0	87
2249000	RELEASED	site0	88
2249000	REJECTED	site0	88
2249000	RELEASED	site0	89
2249000	REJECTED	site0	89
2249000	RELEASED	site0	90
2249000	REJECTED	site0	90
2249000	RELEASED	site0	91
2249000	REJECTED	site0	91
2250000	RELEASED	site0	92
2250000	REJECTED	site0	92
2250000	RELEASED	site0	93
2250000	REJECTED	site0	93
2250000	RELEASED	site0	94
2250000	REJECTED	site0	94
2250000	RELEASED	site0	95
2250000	REJECTED	site0	95
2250000	RELEASED	site0	96
2250000	REJECTED	site0	96
2250000	RELEASED	site0	97
2250000	REJECTED	site0	97
2250000	RELEASED	site0	98
2250000	REJECTED	site0	98
2250000	RELEASED	site0	99
