 job_id  cmax  Mean_waiting_time  Mean_turnaround_time  Number_of_interruptions  Number_of_rejections Competitive_factor Utilization
 2 239 0.0 151.0 0 0 0.6317991631799164 0.6317991631799164
 1 399 75.5 271.5 1 0 0.9824561403508771 0.9824561403508771
 5 833 50.33333333333333 201.66666666666666 1 0 0.5450180072028812 0.5450180072028812
 6 1080 37.75 194.75 1 0 0.5814814814814815 0.5814814814814815
 4 1097 77.4 228.4 3 0 0.6882406563354604 0.6882406563354604
 9 0 0 0 3 1 0 0
 10 0 0 0 3 2 0 0
 7 1364 87.33333333333333 225.66666666666666 39 2 0.6085043988269795 0.6085043988269795
 8 1760 85.14285714285714 279.85714285714283 75 2 0.7744318181818182 0.7744318181818182
 3 2220 221.0 497.625 77 2 0.9968468468468469 0.9968468468468469
 3 2220 221.0 497.625 77 2 0.9968468468468469 0.9968468468468469
